Business Unit,Name,Open,F=Fulfillment,Address,City,State/Province,Country,Zip, SqFt,Month,Year,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country
Zappos,SDF4,Y,F,376 Zappos.com Blvd,Shepherdsville,Kentucky,USA,40165,"823,000",September,2005,37.959505,-85.704609,0.33,place,,,Shepherdsville,KY,Bullitt County,40165,US
Zappos,SDF6,Y,F,271 Omega Pkwy,Shepherdsville,Kentucky,USA,40165,"118,000",April,2012,37.959505,-85.704609,0.33,place,,,Shepherdsville,KY,Bullitt County,40165,US
Zappos,SDF7,Y,F,"300 Omicron Court, Cedar Grove Business Park",Shepherdsville,Kentucky,USA,40165,"281,000",April,2012,37.959505,-85.704609,0.33,place,,,Shepherdsville,KY,Bullitt County,40165,US
Amazon Com Kydc Inc,SDF9,Y,F,"100 W. Thomas P. Echols Lane, St. 3",Shepherdsville,Kentucky,USA,40165-7594,"600,000",October,2013,37.959505,-85.704609,0.33,place,,,Shepherdsville,KY,Bullitt County,40165,US
Amazon Com Kydc Inc,IVSA,Y,F,4620 Olympic Blvd,Erlanger,Kentucky,USA,41018,"109,160",August,2015,39.045494,-84.619866,1,rooftop,4620,Olympic Blvd,Erlanger,KY,Kenton County,41018,US
"Amazon.com.dedc, Inc.",BWI2,Y,F,2010 Broening Highway,Baltimore,Maryland,USA,21224-6027,"1,017,550",March,2015,39.267846,-76.548828,0.8,rooftop,2010,Broening Hwy,Baltimore,MD,Baltimore city,21224,US
"Amazon.com.dedc, Inc.",XUSM,Y,F,610 Chelsea Rd,Aberdeen,Maryland,USA,21001,"571,762",October,2016,39.436487,-76.216112,1,range_interpolation,610,Chelsea Rd,Aberdeen,MD,Harford County,21001,US
"Amazon.com.dedc, Inc.",BWI3,N,F,1 Principio Parkway ,Perryville,Maryland,USA,21093,"1,148,890",Spring,2017,39.433206,-76.654593,0.22,place,,,Lutherville-Timonium,MD,Baltimore County,21093,US
"Amazon.com.dedc, Inc.",,N,F,1600 Sparrow's Point Blvd,Dundalk,Maryland,USA,21209,"855,000",,,39.225014,-76.470013,1,rooftop,1600,Sparrows Point Blvd,Sparrows Point,MD,Baltimore County,21219,US
"Amazon.com.dedc, Inc.",BOS7,Y,F,1180 Innovation Way,Fall River,Massachusetts,USA,02722-4766,"1,000,000",October,2016,41.761721,-71.099637,1,rooftop,1180,Innovation Way,Fall River,MA,Bristol County,2720,US
"Amazon.com.dedc, Inc.",DTW1,N,F,39000 Amrhein,Livonia,Michigan,USA,48150,"1,009,000",October,2017,42.374408,-83.428342,1,range_interpolation,39000,Amrhein Rd,Livonia,MI,Wayne County,48150,US
"Amazon.com.dedc, Inc.",DTW2,N,F,Junction of Wick Road & Vining Road,Romulus,Michigan,USA,48174,"855,000",,2018,42.22226,-83.3966,0.22,place,,,Romulus,MI,Wayne County,48174,US
"Amazon.com.dedc, Inc.",DTW3,N,F,23 Mile Road,Township of Shelpby,Michigan,USA,48316,"1,000,000",,2018,42.681664,-82.741078,0.8,street_center,,Milo St,New Baltimore,MI,Macomb County,48047,US
